Title,Keywords,Observation,Scoping,Needs Statement,State of Art,Solution,Solution Category,Literature,Acknowledgement 
Comfortable Collars,cervical collar; neck or spinal injury,"Patient suffered accident; as he was recovering, he kept adjusting his cervical collar saying it was too tight; prolonged recovery time; Cervical collar used to immobilize the cervical spine and reduce risk of a secondary spinal cord injury; hard collars lead to pain, breathing restrictions; tissue ischemia",treatment,There is a need for more personalized and effective cervical collar that allow patients to be more comfortable during their recovery period after a neck or spinal injury,Use of soft materials such as foam rubber for the collar; ,Comfortable collars; custom to fit the patient's dimensions and need; First the patient dimensions are taken from multiview pictures; UIUC maker lab  + visualization labs will perform 3D image analysis and print the collar using patient appropriate materials; ,device,"
Muzin S, Isaac Z, Walker J, Abd OE, Baima J. When should a cervical collar be used to treat neck pain? Curr Rev Musculoskelet Med. 2007;1(2):114-119. doi:10.1007/s12178-007-9017-9

Sundstrøm T, Asbjørnsen H, Habiba S, Sunde GA, Wester K. Prehospital Use of Cervical Collars in Trauma Patients: A Critical Review. J Neurotrauma. 2014;31(6):531-540. doi:10.1089/neu.2013.3094

Wang HRN, Campbell J, Doubrovsky A, Singh V, Collins J, Coyer F. Pressure injury development in critically ill patients with a cervical collar in situ: A retrospective longitudinal study. International Wound Journal. 2020;17(4):944-956. doi:10.1111/iwj.13363


S Cacho G, D Peña O, M Eguillor M. Efficacy of Cervical Immobilization in Multiple Trauma Patients. Int J Crit Care Emerg Med. 2019;5(1). doi:10.23937/2474-3674/1510061

Types of Cervical Collars | Neck Brace Options | Neck Education. Accessed September 22, 2022. https://www.mmarmedical.com/Types-of-Cervical-Collars-s/1198.htm
",Lotanna Nwandu
Predicting Coma Outcomes with EEG and Clinical Exams,"Coma, EEG",When will comatose patients wake up? Comatose patients are subject to labs and imaging to check for potnetial causes; crude physicals are done on them; many patients are on EEG monitoring; the information is not used; Coma patientas are 0.4% of E; ,diagnostics/prognostics,A way to predict when patients might emerge from coma in order to give clinicians and patients loved ones a more accurate prognosis,"Coma management has two parts: Diagnostics and Monitoring; In Diagnostics we have Neuro exam, Head CT, Basic labs, MRI, EEG, Lu bar Puncture. 
In monitoring, we have neuro exam, electrolyte correction, Amantadine, swelling control, stimulants and Drug Antidote
Clinical measures can predict coma recovery with only 50% accuracy (Glasgow Coma Scale, Coma recovery scale-revised)
","Using continuous EEG monitoring augmenting normal clinical evaluations for predicting outcomes in comatose patients.
Come Etiology, continuous EEG monitoring and Dialy Neuro exam are inputs to multimodal ML model, which will then predict coma duraction and the functional status (will they walk, talk etc.)",data driven,"https://www.ncbi.nlm.nih.gov/books/NBK430722/ 
https://pubmed.ncbi.nlm.nih.gov/35141860/
https://www.ninds.nih.gov/health-information/disorders/coma#:~:text=A%20coma%20may%20be%20the,interrupt%20oxygen%20to%20the%20brain
https://jnnp.bmj.com/content/71/suppl_1/i20
https://www.news-medical.net/health/Can-Deep-Learning-Predict-Coma-Outcome.aspx
https://pubmed.ncbi.nlm.nih.gov/30999877/
https://pubmed.ncbi.nlm.nih.gov/31162190/
https://www.atsjournals.org/doi/10.1164/rccm.202105-1223OC
https://www.sciencedirect.com/science/article/abs/pii/S1388245706015513",Alexander Teague
Proactive approach to identifying atrial fibrillation risk in cyptogenic embolic ischemic stroke patients,"atrial fibrillation;
cryptogenic embolic ischemic stroke","patient's brain imaging is consistent with ischemic stroke, but the etiology is unknown and thus the treatment plan is unknown (antiplatelet therapy or long-term anticoagulation)
1 in 4 patients stroke etiology unknown and thus are classified as cryptogenic. These patients undergo neuro imaging and cardiac assessment, which includes echocardiography. Once cardiac cause is identified then it is classified as a cardiogenic embolic stroke, which is around 15%
",screening,Need a way to improve evaluation of atrial fibrillation risk in patients with acute ischemic stroke of cryptogenic origin in order to guide the most appropriate choice of treatment and secondary prevention strategies.,"ECG monitoring for detection of Afib
pulse palpation, auscultation
","Just like inducing epileptic seizures in ECG, patients will be subject to stimulus to induce atrial myopathy so that we can differentiate healthy patients from patients who are susseptible to atrial fibrilation",medical process,"[1] Kishore, A., Vail, A., Majid, A., Dawson, J., Lees, K. R., Tyrrell, P. J., & Smith, C. J. (2014). Detection of atrial fibrillation after ischemic stroke or transient ischemic attack: a systematic review and meta-analysis. stroke, 45(2), 520-526.
https://www.ahajournals.org/doi/full/10.1161/STROKEAHA.113.003433

[2] Sanna, T., Diener, H. C., Passman, R. S., Di Lazzaro, V., Bernstein, R. A., Morillo, C. A., ... & Brachmann, J. (2014). Cryptogenic stroke and underlying atrial fibrillation. New England Journal of Medicine, 370(26), 2478-248.
https://www.nejm.org/doi/full/10.1056/nejmoa1313600

[3] Healey, J. S., Connolly, S. J., Gold, M. R., Israel, C. W., Van Gelder, I. C., Capucci, A., ... & Hohnloser, S. H. (2012). Subclinical atrial fibrillation and the risk of stroke. New England journal of medicine, 366(2), 120-129.
https://www.nejm.org/doi/full/10.1056/NEJMoa1105575

[4] Seet, R. C., Friedman, P. A., & Rabinstein, A. A. (2011). Prolonged rhythm monitoring for the detection of occult paroxysmal atrial fibrillation in ischemic stroke of unknown cause. Circulation, 124(4), 477-486
https://www.ahajournals.org/doi/full/10.1161/CIRCULATIONAHA.111.029801

[5] Gaillard, N., Deltour, S., Vilotijevic, B., Hornych, A., Crozier, S., Leger, A., ... & Samson, Y. (2010). Detection of paroxysmal atrial fibrillation with transtelephonic EKG in TIA or stroke patients. Neurology, 74(21), 1666-1670
https://n.neurology.org/content/74/21/1666.short

[6] Galloway, C. D., Albert, D. E., & Freedman, S. B. (2013). iPhone ECG application for community screening to detect silent atrial fibrillation: a novel technology to prevent stroke. Int J Cardiol, 165, 193-194
http://w.atrialfibrillation.org.uk/app/webroot/files/file/Clinicians%20Area/130814-rb-Int%20Journal%20of%20Cardiology-iPhone%20ECG%20in%20screening%20AF.pdf

[7] Cotter, P. E., Martin, P. J., Ring, L., Warburton, E. A., Belham, M., & Pugh, P. J. (2013). Incidence of atrial fibrillation detected by implantable loop recorders in unexplained stroke. Neurology, 80(17), 1546-1550
https://n.neurology.org/content/80/17/1546.short

[8] Guo, Y., YH Lip, G., & Apostolakis, S. (2015). Inflammatory biomarkers and atrial fibrillation: potential role of inflammatory pathways in the pathogenesis of atrial fibrillation-induced thromboembolism. Current vascular pharmacology, 13(2), 192-201.
https://www.ingentaconnect.com/content/ben/cvp/2015/00000013/00000002/art00009
[9] Schnabel, R. B., Haeusler, K. G., Healey, J. S., Freedman, B., Boriani, G., Brachmann, J., ... & Yan, B. (2019). Searching for atrial fibrillation poststroke: a white paper of the AF-SCREEN international collaboration. Circulation, 140(22), 1834-1850
https://www.ahajournals.org/doi/full/10.1161/CIRCULATIONAHA.119.040267

[10] Lowres, N., & Freedman, B. (2021). Searching for atrial fibrillation post-stroke with prolonged monitoring: Do it early, but should we be looking for something else?. International Journal of cardiology. Heart & Vasculature, 34.
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8207213/

[11] Maier, Scott (2019). Most Triggers for Irregular Heartbeat Can Be Easily Modified: 
Alcohol, Caffeine, Exercise, Lack of Sleep Are Most Common, UCSF Study Finds
https://www.ucsf.edu/news/2019/02/413256/most-triggers-irregular-heartbeat-can-be-easily-modified",Tracy Kao
Improving automated seizure detection,"seizure, EEG","Observation: High rate of automated false positives in the epilepsy monitoring unit
Natus system provides an alarm when a seizure occurs
EEG interpretation costs 120-470$/hour
If patient gets evaluated for epilepsy sooner there is a difference in mean cost of $4005

",detection/diagnosis,"Need a way for a faster, more seamless way to collect large amounts of ground-truth labelled EEG data for algorithm development","Successful deep learning approaches for automatic detection of seizures already exist
3D RCNN is able to detect preictal, ictal  and inter-ictal with an accuracy, specificity and sensitivity of around 90%
Why then is AI adoption lagging in healthcare?
Ans: data access limitations specifically related to difficulty gathering and centralizing data sets","The native system already has windows to label ictal, preictal and postictal data. Proposed solution is on data collection for implementation
Consent-> HIPAA compliant database->training->deployment
Opt out policy for consent
Data sharing and federated learning
",data driven,"https://www.kaggle.com/c/seizure-prediction
https://ieeexplore.ieee.org/abstract/document/8853232
https://onlinelibrary.wiley.com/doi/full/10.1111/epi.16343
https://journals.lww.com/co-neurology/Fulltext/2019/04000/Non_electroencephalography_based_seizure_detection.5.aspx
https://www.sciencedirect.com/science/article/pii/S0022510X21003051
https://www.sciencedirect.com/science/article/pii/S0987705320300058
https://onlinelibrary.wiley.com/doi/full/10.1111/epi.17220
https://ieeexplore.ieee.org/abstract/document/9429710
https://www.hindawi.com/journals/cin/2022/6486570/
https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-018-0693-8
https://www.nature.com/articles/s41598-020-78784-3
https://natus.com/products-services/nicolet-monitor
https://www.brookings.edu/research/why-is-ai-adoption-in-health-care-lagging/
https://www.technologyreview.com/2021/07/30/1030329/machine-learning-ai-failed-covid-hospital-diagnosis-pandemic/",Jonathan Kim
Fixing Seizure Follow-Up,"Seizure, appointments","Most patients who show up in the ED for seizures are admitted to in patient due to complications or comorbidities
Many other first-time seizure patients are discharged from the ED with plans for neurology follow up and work up on an outpatient:EEG and MRI
They are given an antiepileptic funnelled into the follow up list
The wait time to see a neurologist is greater than 3 months
",follow up,A need to reduce time taken for neurology consult follow up among patients with first-time seizures so as to reduce recurrent seizures and increase quality of care,"Follow up of all epilepsy patients happens in the neuro clinic, which can cause delays
50% of seizure patients are lost to follow up","Propose a follow-up seizure clinic that includes a telehealth option, 20 min visit, medications and emotional support
The call will act as a triage to determine need for inpatient visit, follow ups, psychiatry etc.
This clinic will be tied to the EMR
",process,"Digital Care in Epilepsy - Page R, Shankar R, McLean BN, Hanna J, Newman C. Digital Care in Epilepsy: A Conceptual Framework for Technological Therapies. Front Neurol. 2018 Mar 2;9:99. doi: 10.3389/fneur.2018.00099. PMID: 29551988; PMCID: PMC5841122.
Lavin B, Dormond C, Scantlebury MH, Frouin PY, Brodie MJ. Bridging the healthcare gap: Building the case for epilepsy virtual clinics in the current healthcare environment. Epilepsy Behav. 2020 Oct;111:107262. doi: 10.1016/j.yebeh.2020.107262. Epub 2020 Jul 6. PMID: 32645620; PMCID: PMC7336918.
 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7336918/",Morgan Lewis
PunctureSound,lumbar puncture; ,"Lumbar puncture requires puncturing and reaching the subarchnoid space containing the CSF fluid
Lumbar puncture can be done in the left lateral decubitus position, or sitting position, and in rare cases, the patient is sedated
Lumbar punctures could lead to complications such as headaches, cerebral herniation, infection etc.
400,000 LPs are performed annually in US, cost of LPs range from $400 to $4000

",procedure,Need a way to visualize and anatomically localize LP needle when performing lumbar puncture in pediatric and obese patients in order to increase the success of accessing the subarachnoid space.,"Image guidance is used during difficult lumbar punctures: fluoroscopy and ultrasound
In fluoroscopy patients need to be rotated in the lld position to measure pressure","Puncture sound: US probe with a LP needle canula and software to show the targeted path
Needle will be reloadable
Needle would be advanced along projected path through cannula",device,"https://www.acepnow.com/article/perform-ultrasound-assisted-lumbar-puncture/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4987119/
https://radiopaedia.org/articles/fluoroscopy-guided-lumbar-puncture-1?lang=us
https://www.uptodate.com/contents/lumbar-puncture-technique-indications-contraindications-and-complications-in-adults/print",Rachel Mann
NeurologyAndMe,"EMR, patient medical history","A large part of neurology is tracking progression
When a patient comes in, the previous normal state needs to be known.
Past history of the patient is difficult to obtain.
EMRs do not talk to each other. In the US 58% of errors were due to history, physical exam, test, referrals and communication
",documentation for diagnosis,Need an efficient and robust way to obtain longitudinal data for neurology patients in order to determine the right treatment and current status,"EMR systems do not allow patients to own their data or communicate with other systems
Patients can also carry an emergency ID card
Family members carry your history of medical condition","A QR code at the back of the driversrs lisence or state ID
Physicians would input data using NPI (10 digit identifiable code)
When scanned, a generalized picture of the brain would include areas that are demarcated
Technologies like cloud and blockchain can make this feasible
May lead to double documentation from the physician's standpoint
",process,"https://khn.org/news/death-by-a-thousand-clicks/
https://www.kff.org/other/poll-finding/data-note-publics-experiences-with-electronic-health-records/
https://commons.erau.edu/cgi/viewcontent.cgi?article=1347&context=publication 
Medical History Bracelet: https://medicalhistorybracelet.com/care-medical-history-card/
Iphone is integrating this technology: https://screenrant.com/apple-health-add-medical-records-iphone-how-why/",Richie Li
How's my driving,"driving test, stroke patients","Patient with cognitive impairment 2-3 weeks poststroke
Is the patient ok to drive?
Provider needs to make the decision through mental and physical exam
Criteria for testing includes: visual fields, reaction time, verbal, reaction time (motor), dexterity, short term and long term memory, emotional stability
",screening,Need a way to assess the ability of a patient to drive that is accepted by state law in neuro patients with cognitive decline ,"An OT test not coverable by insurance (300$)
A neurocognitive exam
An app preditcs when people are ready
Safety research is being conducted
Stakeholders: patients, government, insurace","Combination of tests that aleady exists for all the different criteria for driving: visual fields, verbal and motor reaction, dexteity by pin testing.
Need to create a criteria for passing standard
Eventually reduce subjective decision making by medical professionals",process/ app,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6184948/
Driving assessment for people with dementia

https://www.nia.nih.gov/health/driving-safety-and-alzheimers-disease

https://www.todaysgeriatricmedicine.com/archive/SO16p12.shtml
Fit2drive: New App Predicts On-Road Driving Ability in Patients With Dementia

https://pennmemorycenter.org/driving-and-dementia/
Driving and Dementia: When it’s time to turn over the keys 
University of Pennsylvania Memory Center

https://www.alz.org/media/kansascity/documents/driving.pdf
Determinants for discontinued driving; National Alzeimer’s association 
",Travis Neuberger
Deep Tendon Reflex Simulator,"deep tendon reflex, simulation","Students with reflex hammer trying to perform deep tendon reflex (patellar reflex) on a patient
In the actual neurology setting, the students are unable to obtain the reflex
But the attending was able to elicit the reflex just fine
Deep tendon reflex: can be graded on a scale of 0-4
No practice","screening, education",Need an effective resource to practice physical exams such as eliciting reflexes for students and residents,"Neuro simulator by Mayo clinic using VR but missing tactile elements
NeuroSim manikin that can be used to create emergency neuro conditions: pupilary response
Hsiao-Wecksler's lab simulator","A Deep Tendon Reflex simulator that encompasses a link system connecting the foot and the lower leg to simulate the patellar reflex. 
The link will be controlled by an actuator and spring to simulate passive element as well
There are different modes that can be programmed: hypo and hyper relfex",device ,"https://www.mayoclinic.org/medical-professionals/neurology-neurosurgery/news/neurological-simulators-the-next-generation/mac-20502026
https://www.frontiersin.org/articles/10.3389/frai.2021.659060/full
https://www.mayoclinic.org/medical-professionals/neurology-neurosurgery/news/neurological-simulations-the-next-generation/mac-20502026",Baily McInnes
ETTS: A concentric double lumen endotracheal tube for aspiration mitigation,"aspiration, intubation, endotracheal tube","Observation: An elderly woman wo underwent clot-busting thrombectomy died of aspiration. This was possibly because of her inability to protect her airways before intubation or occurred during intubation
Aspiration is the entry of organic secretions into the airways when patients cannot protect their airway. Post operative aspiration mortality is 27%
",prevention/treatment,There is a need to properly place the endotracheal tube with an inflated cuff in neuro-impaired patients in order to prevent aspiration during the intubation process,"Rapid Sequence Intubation: seven steps for rapid placement of ETT in emergent situations.
Risk results from delayed placement and due to the intubation process itself
Despite RSI, incedence rate is 13.4%
Suctioning during intubation with a different catheter","Rethinking ETT: Redesigning the endo tracheal tube to include a separate lumen for suctioning at the system's distal end. 
It would function similar to continuous suctioning during intubation but localizes that function in the trachea for maximum efficacy",device,"https://www-nejm-org.proxy2.library.illinois.edu/doi/10.1056/NEJMra1714562 
https://jamanetwork.com/journals/jama/fullarticle/2777715
https://www-uptodate-com.proxy2.library.illinois.edu/contents/complications-of-airway-management-in-adults?search=intubation%20complication&topicRef=260&source=see_link#H659277871
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7922453/ 
https://www.medschool.lsuhsc.edu/emergency_medicine/docs/rsi.pdf
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7922444/
https://pubmed.ncbi.nlm.nih.gov/30764832/
https://web-p-ebscohost-com.proxy2.library.illinois.edu/ehost/pdfviewer/pdfviewer?vid=0&sid=70b30d4f-d3f9-4ab4-ac16-ab90ded4a6ac%40redis 
https://www-sciencedirect-com.proxy2.library.illinois.edu/science/article/pii/S0012369212604115
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5143313/ ",Jacob Gasienica
Reflexicuff,"deep tendon reflex, muscle activity","Neurologists are told to be cautious with other people's Deep tendon  reflex ratings
",screening/diagnosis,Need an objective and standardized way to measure deep tendon reflexes for patients that transition from ED to in patient to reduce subjectivity and treatment time,"NINDS scale for DTR 
Scale is from 0-4 with 2 being normal
Sometimes a + is added to bring out additional details
Some wearable sensors such as accelerometers, electrogoniometer MMG can be used","Mechanomyography (MMG) cuff to detect muscle movements
Easy to don and off
Sensor quantify muscle response and output in the form of 0-4 scale
Cuff material must be flexible enough that it should elicit the reflex as usual
Data management and training is needed",Device,"https://biosensics.com/products/biodigit-clinic
https://ieeexplore.ieee.org/abstract/document/9763361?casa_token=OBkYjv7UCvMAAAAA:P7nSgP31P0aUyEChi_PawzGCzc7YfnDhpVEx5aWrFq8g-pz1PXAZtKsET5_jLJMytjI1CAg
https://www.sciencedirect.com/science/article/pii/S0949328X20300570?casa_token=WIrCh0MpfsUAAAAA:F1FJx2thkMutPdZpotghRw54jWMTlYHABHho5am2-ZHY71QE3TrffiH4t9sXdYX6qNmLptA 
https://link.springer.com/protocol/10.1007/978-1-4939-2172-0_23 ",Bridget White
Threading the Electromyography Needle: Improving its Diagnostic Accuracy with imaging and machine learning,neuromuscular diseases; electromyography,"Neuromuscular diseases such as carpal tunnel syndrome, Guillain-Barre syndrome and ALS require accurate EMG 
Location of the probe extremely important for EMG; slight changes in probe position causes large changes 
Patinets untreated within 1 yr increases for 70-90%
EMG centers are scares in rural areas

",screening/diagnosis,Need to incorporate accurate anatomical features to guide the placement of EMG probe in patients with neuromuscular diseases so as to obtain an accurate EMG reading,"Ultrasound guided EMG to identify anatomical structures
Ultrasound guided 3D reconstruction
Both require training","Improve accuracy of EMG with minimal training
Ultrasound guided EMG using acoustic/Young's modulus of the signals 
Machine learning creates a color coded maps for the EMG technicians 
Data sets to train this model, need to know the Young's modulus",Data driven ,"https://pubmed.ncbi.nlm.nih.gov/26852113/#:~:text=The%20method%2C%20which%20we%20call,distribution%20within%20a%20given%20area. (iEMG: Imaging electromyography)
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5440331/ (Ultrasound and EMG–NCV study (electromyography and nerve conduction velocity) correlation in diagnosis of nerve pathologies)
https://pubmed.ncbi.nlm.nih.gov/8378425/ (Electromyography: some methodological problems and issues)
https://delsys.com/emgworks/signal-quality-monitor/factors/ (????What factors affect EMG Signal Quality?)
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6123846/ (Potential risks of iatrogenic complications of nerve conduction studies (NCS) and electromyography (EMG))
https://centers.rowanmedicine.com/nmi/documents/emg_whattoexpect.pdf (WHAT TO EXPECT DURING YOUR EMG TEST)
https://onlinelibrary.wiley.com/doi/abs/10.1002/mus.21187?casa_token=GrEzN1VVg88AAAAA:lordcCGJqsSK2kyQeiBhY4uWWCTnwGKH5e9iwXXu3V4gRmkhux-KRCNvAMzM3LfWcPx5TV6AnCsrD78 (Ultrasound-guided needle EMG of the diaphragm: Technique description and case report)
https://www.nature.com/articles/srep42011 (Spatial variation and inconsistency between estimates of onset of muscle activation from EMG and ultrasound)
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4126140/ (Role of ultrasound in evaluation of peripheral nerves)
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3611060/ (Usefulness of Ultrasound for Detecting Suspected Peripheral Nerve Lesions in Diagnosis of Peripheral Neuropathy : Case Report and Brief Review of the Literature)
https://www.nature.com/articles/s41598-018-34719-7 (Assessing the elastic properties of skeletal muscle and tendon using shearwave ultrasound elastography and MyotonPRO)
https://journalotohns.biomedcentral.com/articles/10.1186/s40463-017-0210-6#:~:text=The%20authors%20observed%20that%20the,%C2%B1%2034.9%20MPa%20%5B19%5D. (Comparison of the mechanical properties of different skin sites for auricular and nasal reconstruction)
https://www.sciencedirect.com/science/article/pii/S2590006421000144 (The mechanical characterization of blood vessels and their substitutes in the continuous quest for physiological-relevant performances. A critical review)
https://link.springer.com/chapter/10.1007/978-94-009-1129-1_14 (Acoustic Methods of Evaluating Elastic Properties or, Will the Real Young’s Modulus Please Stand Up?)",Deepak Lakshmipathy
Adaptive Brace for MS: Straight ArMS,"spasticity, exoskeleton","Spasticity is an abnormal tightening of muscles due to extended contraction
An MS patient could not extend her leg and could not transfer into the car
1 million in US have MS, and 60-80% have spasticity
Spasticity can lead to contractures and pressure ulcers
",treatment,Need an external mechanism to aid in lifting of the leg for MS patients that experience spasticity so that they can move with independence,"Physical therapy, magnetic stimulation, Baclofen, botulinum toxin A
Outpatient exercise, robotic gait training, 
Active exoskeletons","Passive Assistive bracing
Lightweight, cheaper, no battery
Multitasking may be challenging
Require upper body strength to straighten the leg
Car transfer adaptation may be added",Device,,Mary Clare Crochiere
Reimagining imaging techniques for lumbar punctures,"ultrasound, lumbar punctures","Several patients required multiple attempts at the lumpar puncture
Patient's body habitus is occasionally not compatible with imaging equipment 
spinal curvature and increased body habitus requires the physician to use longer needles that decrease accuracy
Overall success rate is still 80%
",screening/diagnosis,The need to accurately detect the spine curvature anatomy in patients with abnormal spine curvature to increase the accuracy of lumbar puncture,"""Radioactive sources of imaging: fluoroscopy
Non radioactive sources: Ultrasound""","Propose an ultrasound probe that utilizes two different wave emitting areas to generate a 3D image
Current cross sectional image of US requires formal training to use
Therefore, two probes can create 2 cross sections that intersect at a given point, such as the vertebrae, and could therefore create a 3D image of the interested anatomy.
Idea: combining two probes with a bendable component between them which can allow for customization of the length for each patient
Very little triaining is needed",Device,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4113153/
https://www.minervamedica.it/en/journals/minerva-anestesiologica/article.php?cod=R02Y2019N06A0611
https://www.ajnr.org/content/38/7/1276
https://cp.neurology.org/content/6/4/358
Özütemiz C, Rykken JB. Lumbar puncture under fluoroscopy guidance: a technical review for radiologists. Diagn Interv Radiol. 2019;25(2):144-156. doi:10.5152/dir.2019.18291
Soni NJ, Franco-Sadud R, Schnobrich D, et al. Ultrasound guidance for lumbar puncture. Neurol Clin Pract. 2016;6(4):358-368. doi:10.1212/CPJ.0000000000000265
Porter SB, Holliday RM, Vibhute P, Gupta V, Thomas CS, Robards CB. The effect of scoliosis on surface landmarks for lumbar plexus block: a MRI-based retrospective case-control series. Minerva Anestesiol. 2019 Jun;85(6):611-616. doi: 10.23736/S0375-9393.18.12907-5. Epub 2018 Jul 20. PMID: 30035457.",Szymon Kasperek
Brain Buddy,NIH Stroke scale,"ED patient gave a different NIH stroke scale stroke different from the neurology consult
This is an issue in communicating consult and impacts management and urgency
Most discrepency is in gaze, visual fields, ataxia, sensory and extinction areas",diagnosis,A way to increase consistency in the NIH stroke scale scores provided by the ED physicians and the neurologists in patients who are transferred from ED to inpatient to more accurately assess severity and location of the stroke,"There are other scales including CPSS, FAST, LAPSS and ROSIER
NIHSS is the gold standard
There is MDCalc app that calculates the NIHSS given the condition","Brain buddy: the physicians will wear an AR headset when assessing the stroke patient, and record the video
Physician zooms into critical areas 
Part of the data is used to train an expert labeled machine learning, and the other in testing and validation
Trained data will be able to guide intra-user and inter-user consistency
There could be HIPAA isuues as the patient video is used
","AR, VR, data driven","Interrater Reliability of the National Institutes of Health Stroke Scale: Rating by Emergency Room Physicians and Neurologists in a Population-Based Study (P5.140)
Brian Katz, Jane Khoury, Kathleen Alwell, Charles Moomaw, Dawn Kleindorfer
Neurology Apr 2015, 84 (14 Supplement) P5.140;

https://journals.sagepub.com/doi/10.1111/j.1747-4949.2009.00294.x

https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3897078/",Manaka Sato
Sleep-Stress inSight,"migraine, seizures","Patients came in with relapse in migraines
This could have been due to a lack of sleep and excessive stress
While patients are educated on the effect of seizures and headaches ",prevention,A way to monitor daily stress levels and sleep factors for patients with migraine and seizures so as to guage the risk for relapse,"There are many tools to track sleep quality and stress metrics :OURA ring and Apple watch
none of them correlate these with their condition
Other wearables exist for this as well","Sleep-Stress inSight App would be a downloadable app where the patinet enters their sleep hours, sleep quality, stress levels, whether they took their medications and if they had a relapse of the condition
At the end of every month the app would read out the avg amount of sleep and stress for days of relapse
Recommendations for lifestyle change
Will provide physicians with continuous information on the data","App, data driven","https://headachejournal.onlinelibrary.wiley.com/doi/abs/10.1111/j.1526-4610.2010.01618.x 
http://www.smj.org.sg/article/adult-patient-headache 
https://link.springer.com/article/10.1007/s40122-021-00336-y 
https://headachejournal.onlinelibrary.wiley.com/doi/10.1111/j.1526-4610.2011.02031.x 
https://link.springer.com/article/10.1007/s11916-018-0721-5 
https://dl.acm.org/doi/10.1145/3196709.3196738 
https://hai.ics.uci.edu/papers/p1540-park.pdf 
https://journal.chestnet.org/article/S0012-3692(16)48652-6/fulltext 
",Mark Nyaeme
Brain-Check,neurological exam,"Neurological exam is hard to memorize. Relying on memory could miss limited positive findings in neuropathologies, particularly stroke.
There needs to be a convenient, comprehensive, reproducable manner of completing the neurological exam
Stroke malpractive suits settle for an average of $1.8 mil
Fully automated solutions are hard 
",diagnosis,A way to keep track of the different steps of the neurological exam for neurologists so as to prevent return visits and miss key aspects for stroke diagnostics,A paper and computer-based chart with all the neuro exam steps. ,"Brain Check: App with templates of neuro exam; some steps that are less common are greyed out
Text-to-Speech reminder of the steps will be available
First the physican manually selects a template- doctor conducts test-doctor states negative or positive followed by a description- the app may suggest additional tests based on the doctor's results
Challenge to convince the doctors to use it

","App, data driven","https://onlinelibrary.wiley.com/doi/abs/10.1097/00005537-200404000-00026
https://www.nature.com/articles/eye201768
https://jamanetwork.com/journals/jamaophthalmology/fullarticle/2585124
https://linkinghub.elsevier.com/retrieve/pii/S0002939417304506
https://www.nature.com/articles/s41598-019-54975-5
https://www.ahajournals.org/doi/10.1161/STROKEAHA.119.025352
https://www.strokejournal.org/article/S1052-3057(19)30647-0/fulltext",Nick Tucker
Precise Plus,neurological exam,"34 yr old female in ICU with loss of vision in the left eye. Neuro exams in ICU are high paced. Muscular strength had to be reproduced with another physician
Muscle strength testing is an important component of the physical exam that can reveal information about neurologic deficits. 
It is used to evaluate weakness and can be effective in differentiating true weakness from imbalance or poor endurance.
Limitations of the Grading Scale
Muscle being tested may have no clinical relevance
There may be individual variation in reporting
Only assesses muscles which are contracting in a concentric manner
The scale may not be applicable in all patients",diagnosis,A way to assess muscular function in a reproducable fashion in the ICU in order to determine neurological deficit,"Patients are asked to push and pull with legs bent, resist doctor's force etc. 
Left and right leg comparison may detect a small change, which could signal some neuro deficit
","A gym equipment based solution that can calculate change in force over time. 
A plate with a spring for lower and upper extremities to push 
This methodology involve integration of various quantitative parameters to directly and robustly evaluate characteristics of an individual muscle strength during a neuro exam
",device,"https://www.ncbi.nlm.nih.gov/books/NBK436008/	 
WINTZ MM. Variations in current manual muscle testing. Phys Ther Rev (1948). 1959 Jul;39(7):466-75.
Brandsma JW, Schreuders TA, Birke JA, Piefer A, Oostendorp R. Manual muscle strength testing: intraobserver and interobserver reliabilities for the intrinsic muscles of the hand. J Hand Ther. 1995 Jul-Sep;8(3):185-90. 
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0140822
https://www.atsjournals.org/doi/full/10.1513/AnnalsATS.201801-068PS",Jamila Heldhi
